"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.04.2024","19,28","19,55","19,61","19,18","","-1,78%"
"16.04.2024","19,63","20,05","20,05","19,28","69,52K","-1,95%"
"15.04.2024","20,02","20,51","20,60","20,00","80,81K","-2,10%"
"12.04.2024","20,45","20,85","20,97","20,41","75,22K","-1,92%"
"11.04.2024","20,85","21,45","21,56","20,81","87,77K","-2,84%"
"10.04.2024","21,46","21,69","21,83","21,40","55,28K","-0,14%"
"09.04.2024","21,49","21,54","21,71","21,38","75,99K","-0,46%"
"08.04.2024","21,59","21,93","22,23","21,55","78,74K","-1,82%"
"05.04.2024","21,99","22,37","22,48","21,80","66,09K","-1,65%"
"04.04.2024","22,36","22,29","22,47","22,12","47,42K","0,63%"
"03.04.2024","22,22","22,32","22,63","22,04","58,65K","-0,45%"
"02.04.2024","22,32","22,65","22,91","22,27","62,39K","-1,76%"
"01.04.2024","22,72","22,65","22,91","22,53","62,95K","0,89%"
"28.03.2024","22,52","22,19","22,59","22,06","55,32K","1,49%"
"27.03.2024","22,19","22,34","22,39","21,76","48,56K","-0,89%"
"26.03.2024","22,39","21,94","22,48","21,93","72,31K","2,00%"
"25.03.2024","21,95","21,78","22,13","21,72","35,38K","0,46%"
"22.03.2024","21,85","21,97","22,23","21,75","37,11K","-0,95%"
"21.03.2024","22,06","21,89","22,18","21,82","43,31K","1,33%"
"20.03.2024","21,77","21,58","21,80","21,13","47,68K","0,60%"
"19.03.2024","21,64","22,15","22,22","21,48","49,47K","-2,35%"
"18.03.2024","22,16","22,20","22,35","21,94","43,16K","0,18%"